Transaction_ID,Customer_Name,Application_Date,Annual_Income,Credit_Score,Loan_Amount,Loan_Purpose_Text,Risk_Analyst_Note,Default_Status
6f5e4d3c-2b1a-4f9e-8d7c-6b5a4f3e2d1c,David Brown,2023-08-02,61000.25,640,48000.0,Business investment,High loan amount poses a significant risk.,1
7a8b9c0d-1e2f-4a3b-2c1d-0e9f8a7b6c5d,Patricia Jones,2023-03-30,155000.0,810,30000.0,Major purchase,"Strong financial profile, recommend approval.",0
d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f5a,Robert Garcia,2022-09-18,38000.0,550,8000.0,Car financing,"High risk of default, recommend denial.",1
c6b5a4f3-e2d1-4c0b-9a8f-7e6d5c4b3a2f,Linda Miller,2024-04-05,95000.8,710,22000.0,Debt consolidation,Applicant shows excellent credit history.,0
3c4d5e6f-7a8b-4c9d-0e1f-2a3b4c5d6e7f,William Davis,2023-12-12,72000.0,665,35000.0,Home improvement,"Credit score is borderline, but income is stable.",0
8f9a0b1c-2d3e-4f5a-6b7c-8d9e0f1a2b3c,Elizabeth Rodriguez,2023-06-25,48000.9,610,49500.0,Business investment,Loan amount is very high compared to income.,1
4d5e6f7a-8b9c-4d0e-1f2a-3b4c5d6e7f8a,Joseph Martinez,2022-10-01,180000.0,830,50000.0,Major purchase,Income well supports the requested loan amount.,0
b3c4d5e6-f7a8-4b9c-d0e1-f2a3b4c5d6e7,Susan Hernandez,2024-02-14,53000.0,625,18000.0,Vacation,Further documentation may be required.,0
9a0b1c2d-3e4f-4a5b-6c7d-8e9f0a1b2c3d,Richard Lopez,2023-07-07,33000.0,450,12000.0,Medical expenses,Poor credit history and low income.,1
5e6f7a8b-9c0d-4e1f-2a3b-4c5d6e7f8a9b,Jessica Gonzalez,2023-11-08,110000.0,740,42000.0,Home improvement,"High loan amount, but strong credit profile.",0
a0b1c2d3-e4f5-4a6b-7c8d-9e0f1a2b3c4d,James Wilson,2022-12-24,78000.5,690,28000.0,Debt consolidation,"Stable applicant, recommend for approval.",0
f1a2b3c4-d5e6-4f7a-8b9c-0d1e2f3a4b5c,Barbara Anderson,2024-03-19,41000.0,595,20000.0,Car financing,"Credit score below threshold, high risk.",1
2b3c4d5e-6f7a-4b8c-9d0e-1f2a3b4c5d6e,John Thomas,2023-09-05,195000.0,845,15000.0,Vacation,"Excellent candidate, minimal risk.",0
e6f7a8b9-c0d1-4e2f-3a4b-5c6d7e8f9a0b,Daniel Moore,2023-02-28,68000.0,630,46000.0,Business investment,Loan amount is substantial compared to income.,1
c8d9e0f1-a2b3-4c4d-5e6f-7a8b9c0d1e2f,Sarah Taylor,2022-08-11,92000.0,720,10000.0,Medical expenses,Solid applicant with a clear repayment path.,0
3d4e5f6a-7b8c-4d9e-0f1a-2b3c4d5e6f7a,Matthew Martin,2024-05-01,55000.0,580,25000.0,Debt consolidation,High risk profile due to low credit score.,1
b9c0d1e2-f3a4-4b5c-6d7e-8f9a0b1c2d3e,Karen White,2023-10-16,135000.0,790,49000.0,Home improvement,Strong profile but loan amount is at the upper limit.,0
a1b2c3d4-e5f6-7890-1234-567890abcdef,Jennifer Smith,2023-10-26,45000.75,580,38500.5,Debt consolidation,Applicant has a high debt-to-income ratio.,1
b2c3d4e5-f6a7-8901-2345-67890abcdef1,Michael Johnson,2024-01-15,152000.0,790,25000.0,Home improvement,"Strong credit history, low risk.",0
c3d4e5f6-a7b8-9012-3456-7890abcdef12,Mary Williams,2022-11-05,85000.5,695,48000.0,Major purchase,"Large loan amount requested, requires further review.",1
d4e5f6a7-b8c9-0123-4567-890abcdef123,Robert Jones,2023-08-20,210000.0,820,15000.0,Car financing,"Strong credit history, low risk.",0
e5f6a7b8-c9d0-1234-5678-90abcdef1234,Patricia Brown,2022-06-30,35000.25,450,10000.0,Medical expenses,Applicant has a poor credit history.,1
f6a7b8c9-d0e1-2345-6789-0abcdef12345,John Davis,2024-03-12,95000.0,710,30000.0,Business loan,Solid applicant with stable income.,0
a7b8c9d0-e1f2-3456-7890-bcdef1234567,Linda Miller,2023-05-18,62000.0,640,42500.0,Debt consolidation,Large loan amount relative to income.,1
b8c9d0e1-f2a3-4567-8901-cdef12345678,William Garcia,2022-09-01,110000.0,730,20000.0,Vacation,"Standard application, meets initial criteria.",0
c9d0e1f2-a3b4-5678-9012-def123456789,Elizabeth Rodriguez,2023-12-03,41000.0,595,49000.0,Home improvement,High risk profile with multiple red flags.,1
d0e1f2a3-b4c5-6789-0123-ef1234567890,David Martinez,2024-02-28,75000.0,680,18000.0,Car financing,Solid applicant with stable income.,0
e1f2a3b4-c5d6-7890-1234-f1234567890a,Barbara Hernandez,2022-07-11,185000.0,785,45000.0,Major purchase,"Large loan amount requested, but strong income.",0
f2a3b4c5-d6e7-8901-2345-1234567890ab,Richard Lopez,2023-04-09,32000.0,510,8000.0,Medical expenses,Low income and poor credit history.,1
a3b4c5d6-e7f8-9012-3456-234567890abc,Susan Gonzalez,2022-12-25,68000.0,660,22000.0,Debt consolidation,"Standard application, meets initial criteria.",0
b4c5d6e7-f8a9-0123-4567-34567890abcd,Joseph Wilson,2024-04-01,125000.0,740,35000.0,Business loan,Solid applicant with stable income.,0
c5d6e7f8-a9b0-1234-5678-4567890abcde,Jessica Anderson,2023-02-14,51000.0,610,15500.0,Home improvement,"Borderline credit score, proceed with caution.",0
d6e7f8a9-b0c1-2345-6789-567890abcdef,Charles Thomas,2023-11-30,225000.0,835,49500.0,Major purchase,Excellent credit profile supports the large loan amount.,0
e7f8a9b0-c1d2-3456-7890-67890abcdef1,Sarah Taylor,2022-08-08,48500.0,605,12000.0,Car financing,"Standard application, meets initial criteria.",0
f8a9b0c1-d2e3-4567-8901-7890abcdef12,Thomas Moore,2024-05-01,72000.0,630,41000.0,Debt consolidation,High debt-to-income ratio with this new loan.,1
a9b0c1d2-e3f4-5678-9012-890abcdef123,Karen Jackson,2023-07-22,99000.0,725,28000.0,Vacation,Solid applicant with stable income.,0
b0c1d2e3-f4a5-6789-0123-90abcdef1234,James Martin,2022-10-10,38000.0,555,9500.0,Medical expenses,Applicant has a high debt-to-income ratio.,1
e9c3b2f7-8d1a-4b6f-8c3e-0a9f8b7d6c5e,Jennifer Williams,2023-05-15,42500.5,585,38750.25,Debt Consolidation,"Applicant has a fair credit score, requires careful consideration.",1
a1b2c3d4-e5f6-7890-1234-567890abcdef,Michael Smith,2024-01-20,125000.0,780,25000.0,Home Improvement,"Strong credit profile and low DTI, recommended for approval.",0
f0e9d8c7-b6a5-4321-fedc-ba9876543210,Sarah Jones,2022-11-10,65000.75,640,45500.0,Car Purchase,Loan amount is high relative to standard limits.,1
12345678-90ab-cdef-0123-456789abcdef,David Garcia,2023-08-01,38000.0,550,15000.0,Medical Expenses,"Applicant has a poor credit history, posing a significant risk.",1
fedcba98-7654-3210-fedc-ba9876543210,Linda Brown,2024-03-05,180000.0,820,48000.5,Business Startup,Loan amount is high relative to standard limits.,0
a2b3c4d5-e6f7-8901-2345-67890abcdef1,Robert Davis,2023-02-28,72000.0,685,22000.0,Major Purchase,"Standard risk profile, requires further review.",0
b3c4d5e6-f7g8-9012-3456-7890abcdef12,Patricia Miller,2022-09-18,51000.0,610,35000.0,Debt Consolidation,High debt-to-income ratio is a major concern.,0
c4d5e6f7-g8h9-0123-4567-890abcdef123,James Rodriguez,2024-04-12,95000.0,710,10000.0,Vacation,"Standard risk profile, requires further review.",0
d5e6f7g8-h9i0-1234-5678-90abcdef1234,Mary Martinez,2023-10-30,32000.2,490,28000.0,Medical Expenses,"Applicant has a poor credit history, posing a significant risk.",1
e6f7g8h9-i0j1-2345-6789-0abcdef12345,John Hernandez,2023-07-22,145000.0,795,49500.0,Home Improvement,Loan amount is high relative to standard limits.,1
f7g8h9i0-j1k2-3456-7890-abcdef123456,Elizabeth Lopez,2024-02-14,88000.0,720,18000.0,Car Purchase,"Standard risk profile, requires further review.",0
g8h9i0j1-k2l3-4567-8901-bcdef1234567,William Gonzalez,2022-12-25,48000.0,595,41000.0,Debt Consolidation,High debt-to-income ratio is a major concern.,1
h9i0j1k2-l3m4-5678-9012-cdef12345678,Susan Wilson,2023-06-11,195000.0,835,30000.0,Major Purchase,"Strong credit profile and low DTI, recommended for approval.",0
i0j1k2l3-m4n5-6789-0123-def123456789,Joseph Anderson,2024-05-01,61000.0,655,12500.0,Education Expenses,"Standard risk profile, requires further review.",0
j1k2l3m4-n5o6-7890-1234-ef1234567890,Jessica Thomas,2023-03-19,55000.0,630,42000.0,Business Startup,Loan amount is high relative to standard limits.,1
k2l3m4n5-o6p7-8901-2345-f12345678901,Thomas Taylor,2023-11-02,110000.0,740,40000.0,Home Improvement,"Standard risk profile, requires further review.",0
l3m4n5o6-p7q8-9012-3456-123456789012,Karen Moore,2022-10-08,41000.0,570,20000.0,Debt Consolidation,"Applicant has a poor credit history, posing a significant risk.",1
m4n5o6p7-q8r9-0123-4567-234567890123,Charles Jackson,2024-01-09,78000.0,690,39000.0,Car Purchase,High debt-to-income ratio is a major concern.,0
n5o6p7q8-r9s0-1234-5678-345678901234,Nancy Martin,2023-09-05,160000.0,810,49999.0,Major Purchase,Loan amount is high relative to standard limits.,0
o6p7q8r9-s0t1-2345-6789-456789012345,Richard Lee,2023-12-12,59000.0,605,8000.0,Moving Expenses,"Standard risk profile, requires further review.",0
a1b2c3d4-e5f6-7890-1234-567890abcdef,Jennifer Williams,2023-11-20,145200.75,785,38500.2,Home Improvement,Applicant has a strong credit history.,0
f0e9d8c7-b6a5-4321-fedc-ba9876543210,Michael Smith,2022-08-15,42500.5,580,12000.0,Debt Consolidation,Credit history has some recent delinquencies.,1
12345678-90ab-cdef-0123-456789abcdef,Linda Jones,2024-01-10,89000.0,710,45000.99,Car Purchase,Loan amount is high relative to income.,1
fedcba98-7654-3210-fedc-ba9876543210,Robert Garcia,2023-03-05,65000.0,660,22000.0,Major Purchase,Stable income and low debt-to-income ratio.,0
abcdef01-2345-6789-abcd-ef0123456789,Patricia Brown,2022-12-01,38000.8,520,8000.0,Medical Expenses,High debt-to-income ratio is a concern.,1
98765432-10fe-dcba-9876-543210fedcba,James Miller,2023-09-22,210000.0,820,49000.5,Business Loan,Loan amount is high relative to income.,0
5a4b3c2d-1e0f-9a8b-7c6d-5e4f3c2d1e0f,Mary Davis,2024-02-18,72000.25,695,15000.0,Vacation,Verified employment and income.,0
e1f2a3b4-c5d6-7890-e1f2-a3b4c5d67890,John Rodriguez,2022-06-30,49500.0,610,18000.0,Debt Consolidation,Recent credit inquiries raise a red flag.,0
b4c3d2e1-f6a5-4321-b4c3-d2e1f6a54321,William Martinez,2023-07-14,180000.0,790,30000.0,Home Improvement,Long history of on-time payments.,0
d2e1f6a5-4321-b4c3-d2e1-f6a54321b4c3,Elizabeth Hernandez,2022-10-05,31000.0,450,5500.0,Medical Expenses,Short credit history.,1
c3d2e1f6-a543-21b4-c3d2-e1f6a54321b4,David Lopez,2023-01-25,95000.5,730,41000.0,Car Purchase,Loan amount is high relative to income.,1
e1f6a543-21b4-c3d2-e1f6-a54321b4c3d2,Barbara Gonzalez,2024-03-01,58000.0,640,25000.0,Major Purchase,Stable income and low debt-to-income ratio.,0
f6a54321-b4c3-d2e1-f6a5-4321b4c3d2e1,Richard Wilson,2022-07-19,115000.0,755,35000.0,Business Loan,Applicant has a strong credit history.,0
a54321b4-c3d2-e1f6-a543-21b4c3d2e1f6,Susan Anderson,2023-05-11,46000.7,595,10000.0,Debt Consolidation,Credit history has some recent delinquencies.,1
b4c3d2e1-f6a5-4321-0987-654321fedcba,Joseph Thomas,2022-11-28,78000.0,680,28000.0,Wedding Expenses,Verified employment and income.,0
c3d2e1f6-a543-21b4-fedc-ba9876543210,Jessica Taylor,2024-04-02,130000.0,770,48000.0,Home Improvement,Loan amount is high relative to income.,0
d2e1f6a5-4321-b4c3-1234-567890abcdef,Thomas Moore,2023-08-08,33000.0,490,7500.0,Education,High debt-to-income ratio is a concern.,1
e1f6a543-21b4-c3d2-abcd-ef0123456789,Sarah Jackson,2022-09-17,99000.9,740,39000.0,Car Purchase,Long history of on-time payments.,0
f6a54321-b4c3-d2e1-5a4b-3c2d1e0f9a8b,Charles Martin,2023-12-30,61000.0,625,19000.0,Debt Consolidation,Stable income and low debt-to-income ratio.,0
a54321b4-c3d2-e1f6-e1f2-a3b4c5d67890,Karen Garcia,2024-02-25,41000.0,550,11500.0,Major Purchase,Credit history has some recent delinquencies.,1
a1b2c3d4-e5f6-7890-1234-567890abcdef,Jennifer Williams,2023-05-15,85240.5,720,25000.0,Debt Consolidation,"Standard application, no immediate red flags.",0
f0e9d8c7-b6a5-4321-fedc-ba9876543210,Michael Smith,2022-11-20,45100.75,580,38500.0,Business Investment,Low credit score and high LTI are major concerns.,1
1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,Linda Brown,2024-01-05,155000.0,810,48000.0,Home Improvement,Loan amount is high but supported by strong income.,0
9z8y7x6w-5v4u-3t2s-1r0q-p9o8n7m6l5k4,Robert Jones,2023-08-11,62300.2,640,45000.0,Car Purchase,High loan-to-income ratio requires review.,1
cde321ab-4567-890f-ghij-klmno1234567,Patricia Garcia,2022-09-30,38450.0,450,15000.0,Medical Expenses,Low credit score is a primary concern.,1
89012345-abcd-efab-cdef-0123456789ab,David Miller,2024-03-22,198750.8,835,22000.0,Vacation,Applicant presents a very low-risk profile.,0
fedcba98-7654-3210-fedc-ba9876543210,Mary Davis,2023-02-18,75600.0,690,18000.0,Major Purchase,"Standard application, no immediate red flags.",0
01234567-89ab-cdef-0123-456789abcdef,James Rodriguez,2022-12-25,51200.0,615,41500.0,Debt Consolidation,High loan-to-income ratio requires review.,1
abcdef01-2345-6789-abcd-ef0123456789,Susan Martinez,2023-10-01,42000.0,595,39000.0,Business Investment,Low credit score and high LTI are major concerns.,1
f1e2d3c4-b5a6-9876-5432-10fedcba9876,William Hernandez,2024-04-10,125000.0,780,30000.0,Home Improvement,Applicant presents a very low-risk profile.,0
11223344-5566-7788-99aa-bbccddeeff00,Elizabeth Lopez,2023-07-07,95400.5,740,12000.0,Education,"Standard application, no immediate red flags.",0
aabbccdd-eeff-0011-2233-445566778899,Joseph Gonzalez,2022-08-19,33500.0,540,29000.0,Medical Expenses,Low credit score and high LTI are major concerns.,1
ffeeddcc-bbaa-9988-7766-554433221100,,2023-11-11,175800.0,795,49500.0,Home Improvement,Loan amount is high but supported by strong income.,0
1234abcd-5678-efab-cdef-9012ghij3456,Thomas Anderson,2024-02-28,68900.0,660,20000.0,Car Purchase,"Standard application, no immediate red flags.",0
55aa66bb-77cc-88dd-99ee-ff0011223344,Sarah Thomas,2023-01-20,49500.0,630,24000.0,Debt Consolidation,"Standard application, no immediate red flags.",0
b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6,Charles Taylor,2022-10-15,81000.0,685,43000.0,Business Investment,High loan-to-income ratio requires review.,1
6e5d4c3b-2a1f-0e9d-8c7b-6a5f4e3d2c1b,Karen Moore,2023-09-05,39800.0,510,35000.0,Major Purchase,Low credit score and high LTI are major concerns.,1
78901234-5678-9012-3456-789012345678,Richard Jackson,2024-05-01,220500.0,845,49900.0,Home Improvement,Loan amount is high but supported by strong income.,0
43210987-6543-2109-8765-432109876543,Barbara Martin,2023-06-12,105000.0,760,9500.0,Vacation,"Standard application, no immediate red flags.",0
fedcba09-8765-4321-fedc-ba0987654321,John Johnson,2022-07-29,58000.0,625,46500.0,Car Purchase,High loan-to-income ratio requires review.,1
f47ac10b-58cc-4372-a567-0e02b2c3d479,James Smith,2023-05-15,75450.5,685,25000.0,Debt Consolidation,Applicant meets standard lending criteria.,0
a1b2c3d4-e5f6-7890-1234-567890abcdef,Maria Garcia,2022-11-20,42100.0,590,15500.75,Car Financing,High-risk profile due to low credit score.,1
8f8b8e8b-8888-4888-b888-8e8b8e8b8e8b,John Williams,2024-01-05,125000.0,780,48500.0,Home Improvement,"Strong credit profile, but loan amount is high.",1
c2d3e4f5-a6b7-8c9d-0e1f-2a3b4c5d6e7f,Patricia Jones,2023-08-01,95000.25,710,30000.0,Business Loan,Applicant meets standard lending criteria.,0
123e4567-e89b-12d3-a456-426614174000,Robert Brown,2022-09-11,38500.0,615,10000.0,Medical Expenses,"Borderline applicant, requires further review.",0
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Jennifer Davis,2024-03-22,180000.0,810,49999.0,Major Purchase,Strong credit profile and stable income.,0
a1b2c3d4-a1b2-c3d4-e5f6-a1b2c3d4e5f6,Michael Miller,2023-02-18,41500.8,545,21000.0,Debt Consolidation,High-risk profile due to low credit score.,1
f0e1d2c3-b4a5-6789-0123-abcdef012345,Linda Wilson,2023-12-30,65000.0,640,46000.0,Home Improvement,Borderline applicant with a high loan request.,1
98765432-1fed-cba9-8765-43210fedcba9,William Moore,2022-07-11,210000.0,830,49500.0,Business Loan,"Excellent profile, mitigates risk of large loan.",0
b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6,Elizabeth Taylor,2024-04-01,55000.0,690,12000.0,Vacation,Applicant meets standard lending criteria.,0
a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7,David Anderson,2023-10-09,88000.0,720,35000.0,Car Financing,Applicant meets standard lending criteria.,0
f9e8d7c6-b5a4-3210-fedc-ba9876543210,Barbara Thomas,2022-08-25,31000.0,520,8000.0,Medical Expenses,High-risk profile due to low credit score.,1
00112233-4455-6677-8899-aabbccddeeff,Richard Jackson,2023-06-14,180000.0,790,47000.0,Major Purchase,Strong credit profile but high loan amount requested.,1
e7f6a5b4-c3d2-e1f0-a9b8-c7d6e5f4a3b2,Susan White,2024-02-28,62000.0,660,22000.0,Debt Consolidation,Applicant meets standard lending criteria.,0
d1c2b3a4-e5f6-a7b8-c9d0-e1f2a3b4c5d6,Joseph Harris,2023-03-03,71000.0,630,38000.0,Home Improvement,"Borderline applicant, requires further review.",0
a1b1c1d1-e1f1-a1b1-c1d1-e1f1a1b1c1d1,Jessica Martin,2022-12-12,48000.0,585,25000.0,Business Loan,High-risk profile due to low credit score.,1
a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5,Daniel Thompson,2023-09-21,115000.0,740,15000.0,Vacation,Applicant meets standard lending criteria.,0
f8e7d6c5-b4a3-f2e1-d0c9-b8a7f6e5d4c3,Sarah Martinez,2024-05-01,39000.0,625,9000.0,Car Financing,"Borderline applicant, requires further review.",0
d4c3b2a1-f0e9-d8c7-b6a5-f4e3d2c1b0a9,Matthew Robinson,2023-07-07,92000.0,605,49000.0,Debt Consolidation,Borderline applicant with high loan request.,1
cba98765-4321-fedc-ba98-76543210fedc,Karen Clark,2022-10-15,135000.0,760,28000.0,Home Improvement,Strong credit profile and stable income.,0
e9a2c1b4-7f3d-4c8e-9b1a-5d6f7c8d9e0f,Jennifer Smith,2023-04-12,45500.75,585,25000.0,Debt Consolidation,High risk due to low credit score.,1
a1b3c2d4-8e4f-4d9f-8a2b-6e7f8c9d0e1a,Michael Williams,2024-01-20,125000.0,790,30000.0,Home Improvement,Applicant shows strong financial stability.,0
f8d7c6b5-9a5e-4c0a-b3d2-1e2f3a4b5c6d,Linda Brown,2022-11-05,72000.5,670,48000.0,Car Purchase,Loan amount is high relative to income.,1
c4b5d6e7-0f6a-4b1c-8d3e-2f3a4b5c6d7e,David Jones,2023-08-22,89000.0,710,15000.0,Medical Expenses,"Borderline credit score, proceed with caution.",0
b3c4d5e6-1a7b-4c2d-9e4f-3a4b5c6d7e8f,Susan Garcia,2023-02-18,38000.0,550,10000.0,Major Purchase,High risk due to low credit score.,1
a2b3c4d5-2b8c-4d3e-a5f0-4b5c6d7e8f9a,Joseph Miller,2024-03-01,180000.0,820,45000.0,Business Loan,Loan amount is high relative to income.,1
f9e8d7c6-3c9d-4e4f-b6a1-5c6d7e8f9a0b,Sarah Davis,2022-09-30,95000.25,740,22000.0,Vacation,"Low risk profile, recommend approval.",0
d6c5b4a3-4dae-4f5a-c7b2-6d7e8f9a0b1c,Charles Rodriguez,2023-07-11,65000.0,640,35000.0,Debt Consolidation,Income to debt ratio is a slight concern.,0
c5b4a3d2-5ebf-4a6b-d8c3-7e8f9a0b1c2d,Karen Martinez,2023-12-01,42000.0,610,8000.0,Education,"Borderline credit score, proceed with caution.",0
b4a3d2c1-6fc0-4b7c-e9d4-8f9a0b1c2d3e,Thomas Hernandez,2022-07-25,210000.0,850,50000.0,Home Improvement,Loan amount is high relative to income.,0
a3d2c1b0-7ad1-4c8d-fae5-9a0b1c2d3e4f,James Wilson,2023-10-14,53000.8,630,41000.0,Car Purchase,Loan amount is high relative to income.,1
f0e9d8c7-8be2-4d9e-0bf6-a0b1c2d3e4f5,Mary Anderson,2024-02-09,68000.0,690,12500.0,Medical Expenses,Meets all primary lending criteria.,0
e9d8c7b6-9cf3-4ea0-1ca7-b1c2d3e4f5a6,John Taylor,2022-08-19,31000.0,450,5500.0,Major Purchase,High risk due to low credit score.,1
d8c7b6a5-ad04-4fb1-2db8-c2d3e4f5a6b7,Patricia Moore,2023-06-05,155000.0,760,39000.0,Business Loan,Solid credit history and income.,0
c7b6a594-be15-40c2-3ec9-d3e4f5a6b7c8,Robert Jackson,2023-11-28,82000.9,680,28000.0,Debt Consolidation,Meets all primary lending criteria.,0
b6a59483-cf26-41d3-4fda-e4f5a6b7c8d9,William Martin,2022-12-12,49000.0,595,18000.0,Home Improvement,High risk due to low credit score.,1
a5948372-df37-42e4-50eb-f5a6b7c8d9ea,Elizabeth Thompson,2024-04-01,110000.0,725,42500.0,Car Purchase,Loan amount is high relative to income.,1
94837261-e048-43f5-61fc-a6b7c8d9eabf,Richard White,2023-03-20,76000.0,700,20000.0,Vacation,Meets all primary lending criteria.,0
83726150-f159-4406-720d-b7c8d9eabfcd,Barbara Harris,2022-10-08,35000.0,520,9500.0,Medical Expenses,High risk due to low credit score.,1
7261504f-026a-4517-831e-c8d9eabfcde0,Jessica Clark,2023-09-15,98000.0,730,49500.0,Debt Consolidation,Loan amount is high relative to income.,1
a1b2c3d4-e5f6-7890-1234-567890abcdef,Olivia Smith,2023-10-26,55000.75,640,25000.0,Debt Consolidation,"Standard risk profile, income to debt ratio is acceptable.",0
f0e9d8c7-b6a5-4321-fedc-ba9876543210,Liam Johnson,2022-11-15,42000.5,580,38000.0,Home Improvement,Low credit score presents a significant repayment risk.,1
12345678-90ab-cdef-0123-456789abcdef,Emma Williams,2024-01-20,120000.0,780,45000.0,Major Purchase,Loan amount is high relative to applicant's annual income.,1
abcdef12-3456-7890-abcd-ef1234567890,Noah Brown,2023-05-08,85000.0,710,15000.0,Car Financing,Applicant shows strong financial stability and high creditworthiness.,0
fedcba98-7654-3210-fedc-ba9876543210,Amelia Jones,2023-08-19,38000.0,510,49000.5,Business Loan,High-risk profile due to low credit score and large loan amount.,1
01234567-89ab-cdef-0123-456789abcdef,Oliver Garcia,2024-03-01,150000.25,820,30000.0,Medical Expenses,Excellent credit history and stable income source.,0
98765432-10fe-dcba-9876-543210fedcba,Ava Miller,2022-09-30,62000.0,670,22000.0,Debt Consolidation,"Standard risk profile, income to debt ratio is acceptable.",0
aabbccdd-eeff-0011-2233-445566778899,Elijah Davis,2023-12-12,78000.0,690,41000.0,Home Improvement,Loan amount is high relative to applicant's annual income.,0
ffeeddcc-bbaa-9988-7766-554433221100,Sophia Rodriguez,2024-02-28,31000.0,450,8000.0,Major Purchase,"Credit score below threshold, poses significant default risk.",1
11223344-5566-7788-99aa-bbccddeeff00,Mateo Martinez,2023-07-04,95000.8,750,35000.0,Car Financing,Applicant shows strong financial stability and high creditworthiness.,0
d4e5f6a1-b2c3-4d5e-f6a1-b2c3d4e5f6a1,Isabella Hernandez,2023-03-22,48000.0,610,10000.0,Vacation,"Standard risk profile, income to debt ratio is acceptable.",0
c3b2a1f6-e5d4-c3b2-a1f6-e5d4c3b2a1f6,Lucas Lopez,2022-12-25,180000.0,810,50000.0,Business Loan,High income and credit score mitigate risk of large loan amount.,0
